id,date,module,severity,title,root_cause,status,fixed_version
QB-00028,2025-05-02,物流,S1,物流场景历史问题 28,SQL 索引缺失,已修复,v2.3
QB-00029,2025-06-03,移动端,S2,移动端场景历史问题 29,第三方回调异常,延期,v3.4
QB-00030,2025-07-04,商品,S3,商品场景历史问题 30,边界值遗漏,无法复现,v4.0
QB-00031,2025-08-05,购物车,S4,购物车场景历史问题 31,需求理解不一致,重复问题,v5.1
QB-00032,2025-09-06,订单,S1,订单场景历史问题 32,旧接口兼容,已修复,v6.2
QB-00033,2025-10-07,支付,S2,支付场景历史问题 33,并发控制不足,延期,v7.3
QB-00034,2025-11-08,售后,S3,售后场景历史问题 34,字段类型不一致,无法复现,v8.4
QB-00035,2025-12-09,后台,S4,后台场景历史问题 35,权限校验遗漏,重复问题,v9.0
QB-00036,2025-01-10,搜索,S1,搜索场景历史问题 36,前端状态未同步,已修复,v1.1
QB-00037,2025-02-11,会员,S2,会员场景历史问题 37,缓存失效策略不清,延期,v2.2
QB-00038,2025-03-12,物流,S3,物流场景历史问题 38,SQL 索引缺失,无法复现,v3.3
QB-00039,2025-04-13,移动端,S4,移动端场景历史问题 39,第三方回调异常,重复问题,v4.4
QB-00040,2025-05-14,商品,S1,商品场景历史问题 40,边界值遗漏,已修复,v5.0
QB-00041,2025-06-15,购物车,S2,购物车场景历史问题 41,需求理解不一致,延期,v6.1
QB-00042,2025-07-16,订单,S3,订单场景历史问题 42,旧接口兼容,无法复现,v7.2
QB-00043,2025-08-17,支付,S4,支付场景历史问题 43,并发控制不足,重复问题,v8.3
QB-00044,2025-09-18,售后,S1,售后场景历史问题 44,字段类型不一致,已修复,v9.4
QB-00045,2025-10-19,后台,S2,后台场景历史问题 45,权限校验遗漏,延期,v1.0
QB-00046,2025-11-20,搜索,S3,搜索场景历史问题 46,前端状态未同步,无法复现,v2.1
QB-00047,2025-12-21,会员,S4,会员场景历史问题 47,缓存失效策略不清,重复问题,v3.2
QB-00048,2025-01-22,物流,S1,物流场景历史问题 48,SQL 索引缺失,已修复,v4.3
QB-00049,2025-02-23,移动端,S2,移动端场景历史问题 49,第三方回调异常,延期,v5.4
QB-00050,2025-03-24,商品,S3,商品场景历史问题 50,边界值遗漏,无法复现,v6.0
QB-00051,2025-04-25,购物车,S4,购物车场景历史问题 51,需求理解不一致,重复问题,v7.1
QB-00052,2025-05-26,订单,S1,订单场景历史问题 52,旧接口兼容,已修复,v8.2
QB-00053,2025-06-27,支付,S2,支付场景历史问题 53,并发控制不足,延期,v9.3
QB-00054,2025-07-01,售后,S3,售后场景历史问题 54,字段类型不一致,无法复现,v1.4
QB-00055,2025-08-02,后台,S4,后台场景历史问题 55,权限校验遗漏,重复问题,v2.0
QB-00056,2025-09-03,搜索,S1,搜索场景历史问题 56,前端状态未同步,已修复,v3.1
QB-00057,2025-10-04,会员,S2,会员场景历史问题 57,缓存失效策略不清,延期,v4.2
QB-00058,2025-11-05,物流,S3,物流场景历史问题 58,SQL 索引缺失,无法复现,v5.3
QB-00059,2025-12-06,移动端,S4,移动端场景历史问题 59,第三方回调异常,重复问题,v6.4
QB-00060,2025-01-07,商品,S1,商品场景历史问题 60,边界值遗漏,已修复,v7.0
QB-00061,2025-02-08,购物车,S2,购物车场景历史问题 61,需求理解不一致,延期,v8.1
QB-00062,2025-03-09,订单,S3,订单场景历史问题 62,旧接口兼容,无法复现,v9.2
QB-00063,2025-04-10,支付,S4,支付场景历史问题 63,并发控制不足,重复问题,v1.3
QB-00064,2025-05-11,售后,S1,售后场景历史问题 64,字段类型不一致,已修复,v2.4
QB-00065,2025-06-12,后台,S2,后台场景历史问题 65,权限校验遗漏,延期,v3.0
QB-00066,2025-07-13,搜索,S3,搜索场景历史问题 66,前端状态未同步,无法复现,v4.1
QB-00067,2025-08-14,会员,S4,会员场景历史问题 67,缓存失效策略不清,重复问题,v5.2
QB-00068,2025-09-15,物流,S1,物流场景历史问题 68,SQL 索引缺失,已修复,v6.3
QB-00069,2025-10-16,移动端,S2,移动端场景历史问题 69,第三方回调异常,延期,v7.4
QB-00070,2025-11-17,商品,S3,商品场景历史问题 70,边界值遗漏,无法复现,v8.0
QB-00071,2025-12-18,购物车,S4,购物车场景历史问题 71,需求理解不一致,重复问题,v9.1
QB-00072,2025-01-19,订单,S1,订单场景历史问题 72,旧接口兼容,已修复,v1.2
QB-00073,2025-02-20,支付,S2,支付场景历史问题 73,并发控制不足,延期,v2.3
QB-00074,2025-03-21,售后,S3,售后场景历史问题 74,字段类型不一致,无法复现,v3.4
QB-00075,2025-04-22,后台,S4,后台场景历史问题 75,权限校验遗漏,重复问题,v4.0
QB-00076,2025-05-23,搜索,S1,搜索场景历史问题 76,前端状态未同步,已修复,v5.1
QB-00077,2025-06-24,会员,S2,会员场景历史问题 77,缓存失效策略不清,延期,v6.2
QB-00078,2025-07-25,物流,S3,物流场景历史问题 78,SQL 索引缺失,无法复现,v7.3
QB-00079,2025-08-26,移动端,S4,移动端场景历史问题 79,第三方回调异常,重复问题,v8.4
QB-00080,2025-09-27,商品,S1,商品场景历史问题 80,边界值遗漏,已修复,v9.0
QB-00081,2025-10-01,购物车,S2,购物车场景历史问题 81,需求理解不一致,延期,v1.1
QB-00082,2025-11-02,订单,S3,订单场景历史问题 82,旧接口兼容,无法复现,v2.2
QB-00083,2025-12-03,支付,S4,支付场景历史问题 83,并发控制不足,重复问题,v3.3
QB-00084,2025-01-04,售后,S1,售后场景历史问题 84,字段类型不一致,已修复,v4.4
QB-00085,2025-02-05,后台,S2,后台场景历史问题 85,权限校验遗漏,延期,v5.0
QB-00086,2025-03-06,搜索,S3,搜索场景历史问题 86,前端状态未同步,无法复现,v6.1
QB-00087,2025-04-07,会员,S4,会员场景历史问题 87,缓存失效策略不清,重复问题,v7.2
QB-00088,2025-05-08,物流,S1,物流场景历史问题 88,SQL 索引缺失,已修复,v8.3
QB-00089,2025-06-09,移动端,S2,移动端场景历史问题 89,第三方回调异常,延期,v9.4
QB-00090,2025-07-10,商品,S3,商品场景历史问题 90,边界值遗漏,无法复现,v1.0
QB-00091,2025-08-11,购物车,S4,购物车场景历史问题 91,需求理解不一致,重复问题,v2.1
QB-00092,2025-09-12,订单,S1,订单场景历史问题 92,旧接口兼容,已修复,v3.2
QB-00093,2025-10-13,支付,S2,支付场景历史问题 93,并发控制不足,延期,v4.3
QB-00094,2025-11-14,售后,S3,售后场景历史问题 94,字段类型不一致,无法复现,v5.4
QB-00095,2025-12-15,后台,S4,后台场景历史问题 95,权限校验遗漏,重复问题,v6.0
QB-00096,2025-01-16,搜索,S1,搜索场景历史问题 96,前端状态未同步,已修复,v7.1
QB-00097,2025-02-17,会员,S2,会员场景历史问题 97,缓存失效策略不清,延期,v8.2
QB-00098,2025-03-18,物流,S3,物流场景历史问题 98,SQL 索引缺失,无法复现,v9.3
QB-00099,2025-04-19,移动端,S4,移动端场景历史问题 99,第三方回调异常,重复问题,v1.4
QB-00100,2025-05-20,商品,S1,商品场景历史问题 100,边界值遗漏,已修复,v2.0
QB-00101,2025-06-21,购物车,S2,购物车场景历史问题 101,需求理解不一致,延期,v3.1
QB-00102,2025-07-22,订单,S3,订单场景历史问题 102,旧接口兼容,无法复现,v4.2
QB-00103,2025-08-23,支付,S4,支付场景历史问题 103,并发控制不足,重复问题,v5.3
QB-00104,2025-09-24,售后,S1,售后场景历史问题 104,字段类型不一致,已修复,v6.4
QB-00105,2025-10-25,后台,S2,后台场景历史问题 105,权限校验遗漏,延期,v7.0
QB-00106,2025-11-26,搜索,S3,搜索场景历史问题 106,前端状态未同步,无法复现,v8.1
QB-00107,2025-12-27,会员,S4,会员场景历史问题 107,缓存失效策略不清,重复问题,v9.2
QB-00108,2025-01-01,物流,S1,物流场景历史问题 108,SQL 索引缺失,已修复,v1.3
QB-00109,2025-02-02,移动端,S2,移动端场景历史问题 109,第三方回调异常,延期,v2.4
QB-00110,2025-03-03,商品,S3,商品场景历史问题 110,边界值遗漏,无法复现,v3.0
QB-00111,2025-04-04,购物车,S4,购物车场景历史问题 111,需求理解不一致,重复问题,v4.1
QB-00112,2025-05-05,订单,S1,订单场景历史问题 112,旧接口兼容,已修复,v5.2
QB-00113,2025-06-06,支付,S2,支付场景历史问题 113,并发控制不足,延期,v6.3
QB-00114,2025-07-07,售后,S3,售后场景历史问题 114,字段类型不一致,无法复现,v7.4
QB-00115,2025-08-08,后台,S4,后台场景历史问题 115,权限校验遗漏,重复问题,v8.0
QB-00116,2025-09-09,搜索,S1,搜索场景历史问题 116,前端状态未同步,已修复,v9.1
QB-00117,2025-10-10,会员,S2,会员场景历史问题 117,缓存失效策略不清,延期,v1.2
QB-00118,2025-11-11,物流,S3,物流场景历史问题 118,SQL 索引缺失,无法复现,v2.3
QB-00119,2025-12-12,移动端,S4,移动端场景历史问题 119,第三方回调异常,重复问题,v3.4
QB-00120,2025-01-13,商品,S1,商品场景历史问题 120,边界值遗漏,已修复,v4.0
QB-00121,2025-02-14,购物车,S2,购物车场景历史问题 121,需求理解不一致,延期,v5.1
QB-00122,2025-03-15,订单,S3,订单场景历史问题 122,旧接口兼容,无法复现,v6.2
QB-00123,2025-04-16,支付,S4,支付场景历史问题 123,并发控制不足,重复问题,v7.3
QB-00124,2025-05-17,售后,S1,售后场景历史问题 124,字段类型不一致,已修复,v8.4
QB-00125,2025-06-18,后台,S2,后台场景历史问题 125,权限校验遗漏,延期,v9.0
QB-00126,2025-07-19,搜索,S3,搜索场景历史问题 126,前端状态未同步,无法复现,v1.1
QB-00127,2025-08-20,会员,S4,会员场景历史问题 127,缓存失效策略不清,重复问题,v2.2
QB-00128,2025-09-21,物流,S1,物流场景历史问题 128,SQL 索引缺失,已修复,v3.3
QB-00129,2025-10-22,移动端,S2,移动端场景历史问题 129,第三方回调异常,延期,v4.4
QB-00130,2025-11-23,商品,S3,商品场景历史问题 130,边界值遗漏,无法复现,v5.0
QB-00131,2025-12-24,购物车,S4,购物车场景历史问题 131,需求理解不一致,重复问题,v6.1
QB-00132,2025-01-25,订单,S1,订单场景历史问题 132,旧接口兼容,已修复,v7.2
QB-00133,2025-02-26,支付,S2,支付场景历史问题 133,并发控制不足,延期,v8.3
QB-00134,2025-03-27,售后,S3,售后场景历史问题 134,字段类型不一致,无法复现,v9.4
QB-00135,2025-04-01,后台,S4,后台场景历史问题 135,权限校验遗漏,重复问题,v1.0
QB-00136,2025-05-02,搜索,S1,搜索场景历史问题 136,前端状态未同步,已修复,v2.1
QB-00137,2025-06-03,会员,S2,会员场景历史问题 137,缓存失效策略不清,延期,v3.2
QB-00138,2025-07-04,物流,S3,物流场景历史问题 138,SQL 索引缺失,无法复现,v4.3
QB-00139,2025-08-05,移动端,S4,移动端场景历史问题 139,第三方回调异常,重复问题,v5.4
QB-00140,2025-09-06,商品,S1,商品场景历史问题 140,边界值遗漏,已修复,v6.0
QB-00141,2025-10-07,购物车,S2,购物车场景历史问题 141,需求理解不一致,延期,v7.1
QB-00142,2025-11-08,订单,S3,订单场景历史问题 142,旧接口兼容,无法复现,v8.2
QB-00143,2025-12-09,支付,S4,支付场景历史问题 143,并发控制不足,重复问题,v9.3
QB-00144,2025-01-10,售后,S1,售后场景历史问题 144,字段类型不一致,已修复,v1.4
QB-00145,2025-02-11,后台,S2,后台场景历史问题 145,权限校验遗漏,延期,v2.0
QB-00146,2025-03-12,搜索,S3,搜索场景历史问题 146,前端状态未同步,无法复现,v3.1
QB-00147,2025-04-13,会员,S4,会员场景历史问题 147,缓存失效策略不清,重复问题,v4.2
QB-00148,2025-05-14,物流,S1,物流场景历史问题 148,SQL 索引缺失,已修复,v5.3
QB-00149,2025-06-15,移动端,S2,移动端场景历史问题 149,第三方回调异常,延期,v6.4
QB-00150,2025-07-16,商品,S3,商品场景历史问题 150,边界值遗漏,无法复现,v7.0
QB-00151,2025-08-17,购物车,S4,购物车场景历史问题 151,需求理解不一致,重复问题,v8.1
QB-00152,2025-09-18,订单,S1,订单场景历史问题 152,旧接口兼容,已修复,v9.2
QB-00153,2025-10-19,支付,S2,支付场景历史问题 153,并发控制不足,延期,v1.3
QB-00154,2025-11-20,售后,S3,售后场景历史问题 154,字段类型不一致,无法复现,v2.4
QB-00155,2025-12-21,后台,S4,后台场景历史问题 155,权限校验遗漏,重复问题,v3.0
QB-00156,2025-01-22,搜索,S1,搜索场景历史问题 156,前端状态未同步,已修复,v4.1
QB-00157,2025-02-23,会员,S2,会员场景历史问题 157,缓存失效策略不清,延期,v5.2
QB-00158,2025-03-24,物流,S3,物流场景历史问题 158,SQL 索引缺失,无法复现,v6.3
QB-00159,2025-04-25,移动端,S4,移动端场景历史问题 159,第三方回调异常,重复问题,v7.4
QB-00160,2025-05-26,商品,S1,商品场景历史问题 160,边界值遗漏,已修复,v8.0
QB-00161,2025-06-27,购物车,S2,购物车场景历史问题 161,需求理解不一致,延期,v9.1
QB-00162,2025-07-01,订单,S3,订单场景历史问题 162,旧接口兼容,无法复现,v1.2
QB-00163,2025-08-02,支付,S4,支付场景历史问题 163,并发控制不足,重复问题,v2.3
QB-00164,2025-09-03,售后,S1,售后场景历史问题 164,字段类型不一致,已修复,v3.4
QB-00165,2025-10-04,后台,S2,后台场景历史问题 165,权限校验遗漏,延期,v4.0
QB-00166,2025-11-05,搜索,S3,搜索场景历史问题 166,前端状态未同步,无法复现,v5.1
QB-00167,2025-12-06,会员,S4,会员场景历史问题 167,缓存失效策略不清,重复问题,v6.2
QB-00168,2025-01-07,物流,S1,物流场景历史问题 168,SQL 索引缺失,已修复,v7.3
QB-00169,2025-02-08,移动端,S2,移动端场景历史问题 169,第三方回调异常,延期,v8.4
QB-00170,2025-03-09,商品,S3,商品场景历史问题 170,边界值遗漏,无法复现,v9.0
QB-00171,2025-04-10,购物车,S4,购物车场景历史问题 171,需求理解不一致,重复问题,v1.1
QB-00172,2025-05-11,订单,S1,订单场景历史问题 172,旧接口兼容,已修复,v2.2
QB-00173,2025-06-12,支付,S2,支付场景历史问题 173,并发控制不足,延期,v3.3
QB-00174,2025-07-13,售后,S3,售后场景历史问题 174,字段类型不一致,无法复现,v4.4
QB-00175,2025-08-14,后台,S4,后台场景历史问题 175,权限校验遗漏,重复问题,v5.0
QB-00176,2025-09-15,搜索,S1,搜索场景历史问题 176,前端状态未同步,已修复,v6.1
QB-00177,2025-10-16,会员,S2,会员场景历史问题 177,缓存失效策略不清,延期,v7.2
QB-00178,2025-11-17,物流,S3,物流场景历史问题 178,SQL 索引缺失,无法复现,v8.3
QB-00179,2025-12-18,移动端,S4,移动端场景历史问题 179,第三方回调异常,重复问题,v9.4
QB-00180,2025-01-19,商品,S1,商品场景历史问题 180,边界值遗漏,已修复,v1.0
QB-00181,2025-02-20,购物车,S2,购物车场景历史问题 181,需求理解不一致,延期,v2.1
QB-00182,2025-03-21,订单,S3,订单场景历史问题 182,旧接口兼容,无法复现,v3.2
QB-00183,2025-04-22,支付,S4,支付场景历史问题 183,并发控制不足,重复问题,v4.3
QB-00184,2025-05-23,售后,S1,售后场景历史问题 184,字段类型不一致,已修复,v5.4
QB-00185,2025-06-24,后台,S2,后台场景历史问题 185,权限校验遗漏,延期,v6.0
QB-00186,2025-07-25,搜索,S3,搜索场景历史问题 186,前端状态未同步,无法复现,v7.1
QB-00187,2025-08-26,会员,S4,会员场景历史问题 187,缓存失效策略不清,重复问题,v8.2
QB-00188,2025-09-27,物流,S1,物流场景历史问题 188,SQL 索引缺失,已修复,v9.3
QB-00189,2025-10-01,移动端,S2,移动端场景历史问题 189,第三方回调异常,延期,v1.4
QB-00190,2025-11-02,商品,S3,商品场景历史问题 190,边界值遗漏,无法复现,v2.0
QB-00191,2025-12-03,购物车,S4,购物车场景历史问题 191,需求理解不一致,重复问题,v3.1
QB-00192,2025-01-04,订单,S1,订单场景历史问题 192,旧接口兼容,已修复,v4.2
QB-00193,2025-02-05,支付,S2,支付场景历史问题 193,并发控制不足,延期,v5.3
QB-00194,2025-03-06,售后,S3,售后场景历史问题 194,字段类型不一致,无法复现,v6.4
QB-00195,2025-04-07,后台,S4,后台场景历史问题 195,权限校验遗漏,重复问题,v7.0
QB-00196,2025-05-08,搜索,S1,搜索场景历史问题 196,前端状态未同步,已修复,v8.1
QB-00197,2025-06-09,会员,S2,会员场景历史问题 197,缓存失效策略不清,延期,v9.2
QB-00198,2025-07-10,物流,S3,物流场景历史问题 198,SQL 索引缺失,无法复现,v1.3
QB-00199,2025-08-11,移动端,S4,移动端场景历史问题 199,第三方回调异常,重复问题,v2.4
QB-00200,2025-09-12,商品,S1,商品场景历史问题 200,边界值遗漏,已修复,v3.0
QB-00201,2025-10-13,购物车,S2,购物车场景历史问题 201,需求理解不一致,延期,v4.1
QB-00202,2025-11-14,订单,S3,订单场景历史问题 202,旧接口兼容,无法复现,v5.2
QB-00203,2025-12-15,支付,S4,支付场景历史问题 203,并发控制不足,重复问题,v6.3
QB-00204,2025-01-16,售后,S1,售后场景历史问题 204,字段类型不一致,已修复,v7.4
QB-00205,2025-02-17,后台,S2,后台场景历史问题 205,权限校验遗漏,延期,v8.0
QB-00206,2025-03-18,搜索,S3,搜索场景历史问题 206,前端状态未同步,无法复现,v9.1
QB-00207,2025-04-19,会员,S4,会员场景历史问题 207,缓存失效策略不清,重复问题,v1.2
QB-00208,2025-05-20,物流,S1,物流场景历史问题 208,SQL 索引缺失,已修复,v2.3
QB-00209,2025-06-21,移动端,S2,移动端场景历史问题 209,第三方回调异常,延期,v3.4
QB-00210,2025-07-22,商品,S3,商品场景历史问题 210,边界值遗漏,无法复现,v4.0
QB-00211,2025-08-23,购物车,S4,购物车场景历史问题 211,需求理解不一致,重复问题,v5.1
QB-00212,2025-09-24,订单,S1,订单场景历史问题 212,旧接口兼容,已修复,v6.2
QB-00213,2025-10-25,支付,S2,支付场景历史问题 213,并发控制不足,延期,v7.3
QB-00214,2025-11-26,售后,S3,售后场景历史问题 214,字段类型不一致,无法复现,v8.4
QB-00215,2025-12-27,后台,S4,后台场景历史问题 215,权限校验遗漏,重复问题,v9.0
QB-00216,2025-01-01,搜索,S1,搜索场景历史问题 216,前端状态未同步,已修复,v1.1
QB-00217,2025-02-02,会员,S2,会员场景历史问题 217,缓存失效策略不清,延期,v2.2
QB-00218,2025-03-03,物流,S3,物流场景历史问题 218,SQL 索引缺失,无法复现,v3.3
QB-00219,2025-04-04,移动端,S4,移动端场景历史问题 219,第三方回调异常,重复问题,v4.4
QB-00220,2025-05-05,商品,S1,商品场景历史问题 220,边界值遗漏,已修复,v5.0
QB-00221,2025-06-06,购物车,S2,购物车场景历史问题 221,需求理解不一致,延期,v6.1
QB-00222,2025-07-07,订单,S3,订单场景历史问题 222,旧接口兼容,无法复现,v7.2
QB-00223,2025-08-08,支付,S4,支付场景历史问题 223,并发控制不足,重复问题,v8.3
QB-00224,2025-09-09,售后,S1,售后场景历史问题 224,字段类型不一致,已修复,v9.4
QB-00225,2025-10-10,后台,S2,后台场景历史问题 225,权限校验遗漏,延期,v1.0
QB-00226,2025-11-11,搜索,S3,搜索场景历史问题 226,前端状态未同步,无法复现,v2.1
QB-00227,2025-12-12,会员,S4,会员场景历史问题 227,缓存失效策略不清,重复问题,v3.2
QB-00228,2025-01-13,物流,S1,物流场景历史问题 228,SQL 索引缺失,已修复,v4.3
QB-00229,2025-02-14,移动端,S2,移动端场景历史问题 229,第三方回调异常,延期,v5.4
QB-00230,2025-03-15,商品,S3,商品场景历史问题 230,边界值遗漏,无法复现,v6.0
QB-00231,2025-04-16,购物车,S4,购物车场景历史问题 231,需求理解不一致,重复问题,v7.1
QB-00232,2025-05-17,订单,S1,订单场景历史问题 232,旧接口兼容,已修复,v8.2
QB-00233,2025-06-18,支付,S2,支付场景历史问题 233,并发控制不足,延期,v9.3
QB-00234,2025-07-19,售后,S3,售后场景历史问题 234,字段类型不一致,无法复现,v1.4
QB-00235,2025-08-20,后台,S4,后台场景历史问题 235,权限校验遗漏,重复问题,v2.0
QB-00236,2025-09-21,搜索,S1,搜索场景历史问题 236,前端状态未同步,已修复,v3.1
QB-00237,2025-10-22,会员,S2,会员场景历史问题 237,缓存失效策略不清,延期,v4.2
QB-00238,2025-11-23,物流,S3,物流场景历史问题 238,SQL 索引缺失,无法复现,v5.3
QB-00239,2025-12-24,移动端,S4,移动端场景历史问题 239,第三方回调异常,重复问题,v6.4
QB-00240,2025-01-25,商品,S1,商品场景历史问题 240,边界值遗漏,已修复,v7.0
QB-00241,2025-02-26,购物车,S2,购物车场景历史问题 241,需求理解不一致,延期,v8.1
QB-00242,2025-03-27,订单,S3,订单场景历史问题 242,旧接口兼容,无法复现,v9.2
QB-00243,2025-04-01,支付,S4,支付场景历史问题 243,并发控制不足,重复问题,v1.3
QB-00244,2025-05-02,售后,S1,售后场景历史问题 244,字段类型不一致,已修复,v2.4
QB-00245,2025-06-03,后台,S2,后台场景历史问题 245,权限校验遗漏,延期,v3.0
QB-00246,2025-07-04,搜索,S3,搜索场景历史问题 246,前端状态未同步,无法复现,v4.1
QB-00247,2025-08-05,会员,S4,会员场景历史问题 247,缓存失效策略不清,重复问题,v5.2
QB-00248,2025-09-06,物流,S1,物流场景历史问题 248,SQL 索引缺失,已修复,v6.3
QB-00249,2025-10-07,移动端,S2,移动端场景历史问题 249,第三方回调异常,延期,v7.4
QB-00250,2025-11-08,商品,S3,商品场景历史问题 250,边界值遗漏,无法复现,v8.0
QB-00251,2025-12-09,购物车,S4,购物车场景历史问题 251,需求理解不一致,重复问题,v9.1
QB-00252,2025-01-10,订单,S1,订单场景历史问题 252,旧接口兼容,已修复,v1.2
QB-00253,2025-02-11,支付,S2,支付场景历史问题 253,并发控制不足,延期,v2.3
QB-00254,2025-03-12,售后,S3,售后场景历史问题 254,字段类型不一致,无法复现,v3.4
QB-00255,2025-04-13,后台,S4,后台场景历史问题 255,权限校验遗漏,重复问题,v4.0
QB-00256,2025-05-14,搜索,S1,搜索场景历史问题 256,前端状态未同步,已修复,v5.1
QB-00257,2025-06-15,会员,S2,会员场景历史问题 257,缓存失效策略不清,延期,v6.2
QB-00258,2025-07-16,物流,S3,物流场景历史问题 258,SQL 索引缺失,无法复现,v7.3
QB-00259,2025-08-17,移动端,S4,移动端场景历史问题 259,第三方回调异常,重复问题,v8.4
QB-00260,2025-09-18,商品,S1,商品场景历史问题 260,边界值遗漏,已修复,v9.0
QB-00261,2025-10-19,购物车,S2,购物车场景历史问题 261,需求理解不一致,延期,v1.1
QB-00262,2025-11-20,订单,S3,订单场景历史问题 262,旧接口兼容,无法复现,v2.2
QB-00263,2025-12-21,支付,S4,支付场景历史问题 263,并发控制不足,重复问题,v3.3
QB-00264,2025-01-22,售后,S1,售后场景历史问题 264,字段类型不一致,已修复,v4.4
QB-00265,2025-02-23,后台,S2,后台场景历史问题 265,权限校验遗漏,延期,v5.0
QB-00266,2025-03-24,搜索,S3,搜索场景历史问题 266,前端状态未同步,无法复现,v6.1
QB-00267,2025-04-25,会员,S4,会员场景历史问题 267,缓存失效策略不清,重复问题,v7.2
QB-00268,2025-05-26,物流,S1,物流场景历史问题 268,SQL 索引缺失,已修复,v8.3
QB-00269,2025-06-27,移动端,S2,移动端场景历史问题 269,第三方回调异常,延期,v9.4
QB-00270,2025-07-01,商品,S3,商品场景历史问题 270,边界值遗漏,无法复现,v1.0
QB-00271,2025-08-02,购物车,S4,购物车场景历史问题 271,需求理解不一致,重复问题,v2.1
QB-00272,2025-09-03,订单,S1,订单场景历史问题 272,旧接口兼容,已修复,v3.2
QB-00273,2025-10-04,支付,S2,支付场景历史问题 273,并发控制不足,延期,v4.3
QB-00274,2025-11-05,售后,S3,售后场景历史问题 274,字段类型不一致,无法复现,v5.4
QB-00275,2025-12-06,后台,S4,后台场景历史问题 275,权限校验遗漏,重复问题,v6.0
QB-00276,2025-01-07,搜索,S1,搜索场景历史问题 276,前端状态未同步,已修复,v7.1
QB-00277,2025-02-08,会员,S2,会员场景历史问题 277,缓存失效策略不清,延期,v8.2
QB-00278,2025-03-09,物流,S3,物流场景历史问题 278,SQL 索引缺失,无法复现,v9.3
QB-00279,2025-04-10,移动端,S4,移动端场景历史问题 279,第三方回调异常,重复问题,v1.4
QB-00280,2025-05-11,商品,S1,商品场景历史问题 280,边界值遗漏,已修复,v2.0
QB-00281,2025-06-12,购物车,S2,购物车场景历史问题 281,需求理解不一致,延期,v3.1
QB-00282,2025-07-13,订单,S3,订单场景历史问题 282,旧接口兼容,无法复现,v4.2
QB-00283,2025-08-14,支付,S4,支付场景历史问题 283,并发控制不足,重复问题,v5.3
QB-00284,2025-09-15,售后,S1,售后场景历史问题 284,字段类型不一致,已修复,v6.4
QB-00285,2025-10-16,后台,S2,后台场景历史问题 285,权限校验遗漏,延期,v7.0
QB-00286,2025-11-17,搜索,S3,搜索场景历史问题 286,前端状态未同步,无法复现,v8.1
QB-00287,2025-12-18,会员,S4,会员场景历史问题 287,缓存失效策略不清,重复问题,v9.2
QB-00288,2025-01-19,物流,S1,物流场景历史问题 288,SQL 索引缺失,已修复,v1.3
QB-00289,2025-02-20,移动端,S2,移动端场景历史问题 289,第三方回调异常,延期,v2.4
